year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2018,24-Jan-18,17,22.986,555
2018,24-Jan-18,18,,
2018,24-Jan-18,19,,
2018,24-Jan-18,20,,
2018,24-Jan-18,21,,
2018,24-Jan-18,22,,
2018,24-Jan-18,23,,
2018,24-Jan-18,24,,
2018,25-Jan-18,1,,
2018,25-Jan-18,2,,
2018,25-Jan-18,3,,
2018,25-Jan-18,4,,
2018,25-Jan-18,5,,
2018,25-Jan-18,6,,
2018,25-Jan-18,7,0.249,6
2018,25-Jan-18,8,25.143,556
2018,25-Jan-18,9,193.81,649
2018,25-Jan-18,10,401.711,768
2018,25-Jan-18,11,584.067,833
2018,25-Jan-18,12,660.176,851
2018,25-Jan-18,13,658.289,859
2018,25-Jan-18,14,595.069,836
2018,25-Jan-18,15,438.02,766
2018,25-Jan-18,16,191.275,635
2018,25-Jan-18,17,22.515,552
2018,25-Jan-18,18,,
2018,25-Jan-18,19,,
2018,25-Jan-18,20,,
2018,25-Jan-18,21,,
2018,25-Jan-18,22,,
2018,25-Jan-18,23,,
2018,25-Jan-18,24,,
2018,26-Jan-18,1,,
2018,26-Jan-18,2,,
2018,26-Jan-18,3,,
2018,26-Jan-18,4,,
2018,26-Jan-18,5,,
2018,26-Jan-18,6,,
2018,26-Jan-18,7,0.277,6
2018,26-Jan-18,8,25.935,557
2018,26-Jan-18,9,209.695,656
2018,26-Jan-18,10,454.992,782
2018,26-Jan-18,11,603.105,836
2018,26-Jan-18,12,656.133,864
2018,26-Jan-18,13,652.978,867
2018,26-Jan-18,14,586.813,845
2018,26-Jan-18,15,431.884,780
2018,26-Jan-18,16,193.072,656
2018,26-Jan-18,17,23.147,562
2018,26-Jan-18,18,,
2018,26-Jan-18,19,,
2018,26-Jan-18,20,,
2018,26-Jan-18,21,,
2018,26-Jan-18,22,,
2018,26-Jan-18,23,,
2018,26-Jan-18,24,,
2018,27-Jan-18,1,,
2018,27-Jan-18,2,,
2018,27-Jan-18,3,,
2018,27-Jan-18,4,,
2018,27-Jan-18,5,,
2018,27-Jan-18,6,,
2018,27-Jan-18,7,0.292,7
2018,27-Jan-18,8,27.684,572
2018,27-Jan-18,9,180.264,710
2018,27-Jan-18,10,398.632,841
2018,27-Jan-18,11,524.339,890
2018,27-Jan-18,12,604.805,903
2018,27-Jan-18,13,595.904,909
2018,27-Jan-18,14,508.876,892
2018,27-Jan-18,15,292.125,836
2018,27-Jan-18,16,112.456,701
2018,27-Jan-18,17,15.425,574
2018,27-Jan-18,18,,
2018,27-Jan-18,19,,
2018,27-Jan-18,20,,
2018,27-Jan-18,21,,
2018,27-Jan-18,22,,
2018,27-Jan-18,23,,
2018,27-Jan-18,24,,
2018,28-Jan-18,1,,
2018,28-Jan-18,2,,
2018,28-Jan-18,3,,
2018,28-Jan-18,4,,
2018,28-Jan-18,5,,
2018,28-Jan-18,6,,
2018,28-Jan-18,7,0.278,6
2018,28-Jan-18,8,3.093,406
2018,28-Jan-18,9,31.051,605
2018,28-Jan-18,10,88.31,716
2018,28-Jan-18,11,142.956,771
2018,28-Jan-18,12,160.972,764
2018,28-Jan-18,13,169.619,789
2018,28-Jan-18,14,133.239,765
2018,28-Jan-18,15,101.061,723
2018,28-Jan-18,16,50.504,641
2018,28-Jan-18,17,7.199,512
2018,28-Jan-18,18,,
2018,28-Jan-18,19,,
2018,28-Jan-18,20,,
2018,28-Jan-18,21,,
2018,28-Jan-18,22,,
2018,28-Jan-18,23,,
2018,28-Jan-18,24,,
2018,29-Jan-18,1,,
2018,29-Jan-18,2,,
2018,29-Jan-18,3,,
2018,29-Jan-18,4,,
2018,29-Jan-18,5,,
2018,29-Jan-18,6,,
2018,29-Jan-18,7,0.25,6
2018,29-Jan-18,8,10.241,543
2018,29-Jan-18,9,62.048,589
2018,29-Jan-18,10,120.226,624
2018,29-Jan-18,11,184.395,670
2018,29-Jan-18,12,236.294,678
2018,29-Jan-18,13,277.73,670
2018,29-Jan-18,14,198.775,648
2018,29-Jan-18,15,90.562,612
2018,29-Jan-18,16,38.163,566
2018,29-Jan-18,17,5.546,373
2018,29-Jan-18,18,,
2018,29-Jan-18,19,,
2018,29-Jan-18,20,,
2018,29-Jan-18,21,,
2018,29-Jan-18,22,,
2018,29-Jan-18,23,,
2018,29-Jan-18,24,,
2018,30-Jan-18,1,,
2018,30-Jan-18,2,,
2018,30-Jan-18,3,,
2018,30-Jan-18,4,,
2018,30-Jan-18,5,,
2018,30-Jan-18,6,,
2018,30-Jan-18,7,0.217,6
2018,30-Jan-18,8,0.975,90
2018,30-Jan-18,9,9.554,261
2018,30-Jan-18,10,22.113,354
2018,30-Jan-18,11,38.09,433
2018,30-Jan-18,12,48.894,461
2018,30-Jan-18,13,58.927,475
2018,30-Jan-18,14,61.422,481
2018,30-Jan-18,15,49.075,465
2018,30-Jan-18,16,27.72,404
2018,30-Jan-18,17,5.567,262
2018,30-Jan-18,18,,
2018,30-Jan-18,19,,
2018,30-Jan-18,20,,
2018,30-Jan-18,21,,
2018,30-Jan-18,22,,
2018,30-Jan-18,23,,
2018,30-Jan-18,24,,
2018,31-Jan-18,1,,
2018,31-Jan-18,2,,
2018,31-Jan-18,3,,
2018,31-Jan-18,4,,
2018,31-Jan-18,5,,
2018,31-Jan-18,6,,
2018,31-Jan-18,7,0.226,8
2018,31-Jan-18,8,13.478,349
2018,31-Jan-18,9,101.953,546
2018,31-Jan-18,10,229.052,654
2018,31-Jan-18,11,341.637,704
2018,31-Jan-18,12,386.432,732
2018,31-Jan-18,13,391.075,728
2018,31-Jan-18,14,416.14,735
2018,31-Jan-18,15,339.388,701
2018,31-Jan-18,16,159.247,602
2018,31-Jan-18,17,26.044,515
2018,31-Jan-18,18,0.293,6
2018,31-Jan-18,19,,
2018,31-Jan-18,20,,
2018,31-Jan-18,21,,
2018,31-Jan-18,22,,
2018,31-Jan-18,23,,
2018,31-Jan-18,24,,
2018,1-Feb-18,1,,
2018,1-Feb-18,2,,
2018,1-Feb-18,3,,
2018,1-Feb-18,4,,
2018,1-Feb-18,5,,
